driver_id,date,day_of_week,weekend_flag,stop,location_id,latitude,longitude,region,traffic_category,visit_time,visit_duration_minutes,distance_km,historical_travel_time_minutes,stop_count,average_speed_kmph,route_efficiency_score
D1,2026-01-01,Thursday,0,Store_9,L9,23.1724,72.568243,East,Medium,09:30,55,12.21,44.44,12,32.3,0.72
D1,2026-01-01,Thursday,0,Store_54,L54,23.011897,72.641639,North,Medium,15:00,59,21.92,56.99,8,38.48,0.88
D12,2026-01-01,Thursday,0,Store_18,L18,22.937508,72.532447,Central,High,14:15,26,16.77,57.02,5,47.24,0.97
D12,2026-01-01,Thursday,0,Store_2,L2,23.101989,72.495308,North,Medium,16:45,27,13.12,34.11,11,31.84,0.86
D13,2026-01-01,Thursday,0,Store_42,L42,23.04175,72.60512,East,High,18:30,26,24.66,117.38,8,46.18,0.61
D14,2026-01-01,Thursday,0,Store_27,L27,23.078705,72.511762,South,Low,11:30,15,2.54,5.08,4,22.7,0.71
D3,2026-01-01,Thursday,0,Store_70,L70,22.903094,72.533732,West,Low,10:00,24,8.62,24.14,4,33.71,0.65
D3,2026-01-01,Thursday,0,Store_55,L55,23.018238,72.570281,West,Low,17:45,31,12.21,34.19,6,47.17,0.88
D4,2026-01-01,Thursday,0,Store_47,L47,22.996527,72.726769,Central,Low,16:15,28,1.49,2.98,8,49.38,0.69
D7,2026-01-01,Thursday,0,Store_48,L48,23.02243,72.683566,East,Low,10:45,52,10.29,28.81,9,37.07,0.69
D8,2026-01-01,Thursday,0,Store_31,L31,22.92006,72.51836,South,Medium,17:00,41,2.32,8.44,9,32.44,0.86
D12,2026-01-02,Friday,0,Store_48,L48,23.02243,72.683566,East,Low,09:00,22,17.67,49.48,12,47.31,0.75
D14,2026-01-02,Friday,0,Store_62,L62,23.04547,72.60816,West,High,14:00,21,8.92,30.33,11,31.74,0.73
D15,2026-01-02,Friday,0,Store_11,L11,22.956287,72.533465,West,High,09:00,35,14.63,69.64,8,45.48,0.68
D4,2026-01-02,Friday,0,Store_57,L57,23.008902,72.68655,West,Medium,11:30,26,24.39,63.41,8,27.87,0.79
D6,2026-01-02,Friday,0,Store_24,L24,23.142062,72.57643,South,Medium,16:45,19,5.69,14.79,6,43.97,0.97
D8,2026-01-02,Friday,0,Store_13,L13,23.081015,72.536338,West,Medium,09:30,10,17.86,65.01,3,31.76,0.69
D8,2026-01-02,Friday,0,Store_15,L15,23.103642,72.553741,Central,Low,10:45,21,9.4,26.32,9,23.42,0.83
D8,2026-01-02,Friday,0,Store_46,L46,22.965655,72.529849,Central,Low,15:30,12,10.35,20.7,12,38.1,0.88
D9,2026-01-02,Friday,0,Store_33,L33,23.076562,72.481891,West,Medium,17:15,17,8.54,31.09,5,27.39,0.89
D12,2026-01-03,Saturday,1,Store_68,L68,23.031707,72.714249,Central,Medium,11:45,60,4.47,11.62,6,27.17,0.88
D15,2026-01-03,Saturday,1,Store_23,L23,23.040341,72.600817,East,High,09:00,13,24.11,114.76,3,35.98,0.73
D15,2026-01-03,Saturday,1,Store_66,L66,22.98114,72.715898,East,Low,12:45,44,9.44,18.88,5,48.83,0.68
D15,2026-01-03,Saturday,1,Store_14,L14,22.957228,72.598412,South,High,14:30,34,5.04,17.14,9,21.35,0.83
D4,2026-01-03,Saturday,1,Store_32,L32,22.896707,72.491172,East,Low,11:45,44,8.68,17.36,3,33.62,0.88
D4,2026-01-03,Saturday,1,Store_58,L58,23.018608,72.5704,North,Low,16:15,60,17.46,34.92,4,32.23,0.67
D8,2026-01-03,Saturday,1,Store_34,L34,23.027443,72.583301,West,Medium,13:45,20,5.3,13.78,8,46.6,0.93
D9,2026-01-03,Saturday,1,Store_27,L27,23.078705,72.511762,South,Low,14:45,31,10.56,21.12,8,36.69,0.7
D10,2026-01-04,Sunday,1,Store_36,L36,23.112303,72.453666,East,Low,10:45,24,10.36,29.01,10,25.69,0.82
D10,2026-01-04,Sunday,1,Store_52,L52,22.919236,72.519291,East,Low,13:00,11,10.34,20.68,7,34.31,0.86
D10,2026-01-04,Sunday,1,Store_63,L63,22.974029,72.597014,Central,Medium,16:15,12,5.38,13.99,9,31.44,0.93
D14,2026-01-04,Sunday,1,Store_54,L54,23.011897,72.641639,North,Medium,12:00,33,6.5,16.9,4,38.98,0.72
D15,2026-01-04,Sunday,1,Store_26,L26,23.140634,72.59912,East,Low,13:30,10,23.77,47.54,9,35.52,0.95
D5,2026-01-04,Sunday,1,Store_31,L31,22.92006,72.51836,South,Medium,16:15,20,18.67,48.54,12,32.92,0.67
D6,2026-01-04,Sunday,1,Store_56,L56,23.088968,72.467116,West,High,11:00,40,5.09,17.31,9,49.56,0.88
D7,2026-01-04,Sunday,1,Store_14,L14,22.957228,72.598412,South,High,14:30,13,13.74,46.72,5,39.34,0.81
D8,2026-01-04,Sunday,1,Store_11,L11,22.956287,72.533465,West,High,08:30,25,9.07,43.17,12,22.02,0.72
